id,app_name,datatime,context,answer
g_9819,simeji,2021-10-28 21:20:44,非常に使い易いんで、気に入って使わせて貰ってましたが、宣伝お知らせ,
g_13632,楽天ペイ,2021-11-25 09:26:37,かんたん,
g_3951,CokeON,2021-11-06 17:51:25,一番やりたい,
g_417,BuzzVideo,2021-10-28 19:19:02,ただ、youtubeよりも広告が少ないのがせめてもの救い,
g_12737,ファミマのアプリ,2021-12-03 18:17:53,特典もあり最高ポイ活にもナイス,
g_8342,Paypay,2021-12-09 13:01:37,減らして欲しいです,減らして欲しい
g_2570,CokeON,2021-10-28 09:11:18,接続されないおかげで何個スタンプもらい損ねたかわかりません,接続されない
g_9969,スマートニュース,2021-11-18 14:07:26,アプリ止めたくなる,
g_4109,google_fit,2021-10-23 15:52:30,信用はあまり出来ないアプリですね,
g_10404,スマートニュース,2021-10-31 22:42:20,見たいジャンルが少ない,ジャンルが少ない
g_7750,Paypay,2021-11-22 13:42:09,便利に利用させて頂いています,
g_10407,スマートニュース,2021-10-27 16:05:39,こなさ,
g_3801,CokeON,2021-11-30 14:26:02,サブスクの月20本の方利用しました,
g_7878,Paypay,2021-12-11 06:20:12,なんて便利なんでしょう,
g_9266,simeji,2021-11-14 16:03:54,後最近予測変換機能がまじでちゃんと働いてくれないので治してください,予測変換機能がまじでちゃんと働いてくれない
g_5004,LINE_MUSIC,2021-11-04 16:16:46,上限なくして欲しい,上限なくして欲しい
g_8253,Paypay,2021-11-20 08:54:04,無断撮影の客は修正自由で店舗は事実無根な書き込みされ泣き寝入りの食べログは勝手に店舗の無許可でサイトよりはまともと思っていたけど,
g_12626,にゃんトーク,2021-12-02 09:21:27,更新後、鳴き声を拾わなくなったのか全く使えなくなった,鳴き声を拾わなくなった
g_2786,CokeON,2021-12-04 09:44:11,これからも色々なイベントをお願いします,これからも色々なイベントをお願いします
g_7809,Paypay,2021-10-21 16:31:43,ポイントはありがたい,
g_4592,google_fit,2021-12-14 18:09:21,なんで合わない,なんで合わない
g_5299,LINE_MUSIC,2021-12-03 09:57:46,ローカルファイルの曲もプレイリストに追加できるようにして欲しい,ローカルファイルの曲もプレイリストに追加できるようにして欲しい
g_2131,CokeON,2021-11-03 17:36:18,ほんま嬉しいわ,
g_6686,majica,2021-11-29 23:57:12,何にも出来ません,何にも出来ません
g_11848,スマートニュース,2021-12-10 08:29:18,通勤、休み時間等で毎日検索しています,
g_7897,Paypay,2021-11-18 23:13:57,時々、すごくお買い得に利用できるのでありがたいです,
g_862,capcut,2021-11-03 19:59:29,自分が入れている音楽を使用することが出来ない,自分が入れている音楽を使用することが出来ない
g_13488,楽天ペイ,2021-11-12 18:57:17,edyアプリ自体では問題なくチャージ出来てるので本アプリ側の問題かと,本アプリ側の問題
g_4731,google_fit,2021-12-13 07:36:38,とりあえず睡眠時間の記録もして欲しい,睡眠時間の記録もして欲しい
g_1810,CokeON,2021-12-02 21:56:14,とても安全でいいアプリです,
g_5830,majica,2021-11-27 15:33:45,閉じてもアプリ停止が何度も続き困ってしまいました,アプリ停止
g_11116,スマートニュース,2021-12-14 15:31:01,毎日の生活の必需品,
g_905,capcut,2021-11-05 23:33:24,スマホ1つでパソコン並の高度な編集ができたり、全然重くもないので正直言って最高です,
g_11323,スマートニュース,2021-11-12 19:36:49,イラストを使って項目判断しやすく同じものが続か無いように,同じものが続か無いように
g_10538,スマートニュース,2021-11-27 09:17:19,ニュースに加え抽選無料クーポンとても良きです,
g_4987,LINE_MUSIC,2021-11-11 13:47:44,コイン購入出来なくするのなら購入なしで聴けるようにしてくれないと困りますし、評価が下がる一方です,コイン購入出来なくするのなら購入なしで聴けるようにして
g_146,BuzzVideo,2021-11-13 17:57:17,感動と生きる意欲が沸きました,
g_13986,楽天ペイ,2021-11-15 21:19:30,運営は対処しないのか,運営は対処しない
g_6220,majica,2021-11-17 09:02:20,っていうか、同じ会社で他に会員登録してると使えないって、どうなんでしょうか,同じ会社で他に会員登録してると使えない
g_12948,ファミマのアプリ,2021-12-08 13:50:28,もらい損ねたらもったいないです,
g_702,capcut,2021-11-04 09:22:01,インストール出来ません汗,インストール出来ません
g_123,BuzzVideo,2021-12-10 19:47:31,ばずみん32って人の動画だけど虚偽ニュースという事で報告したのに対応しないってありえるの,報告したのに対応しない
g_5661,LINE_MUSIC,2021-11-10 02:03:22,2021/11/10使いやすかったのに、勝手に再生されたり、lineミュージックで曲再生中に別のメディアの再生を始めても曲が止まってくれなくなったりと不便になりました,勝手に再生されたり、lineミュージックで曲再生中に別のメディアの再生を始めても曲が止まってくれなくなった
g_3351,CokeON,2021-12-08 16:29:47,すばらしい,
g_6033,majica,2021-11-29 23:57:12,28から立ち上がりません,立ち上がりません
g_5109,LINE_MUSIC,2021-11-23 20:37:23,端末のせいかはわかりませんが,
g_8989,Paypay,2021-11-17 06:57:03,でイベントないと還元率低いのに店から異常な程手数料引いてるって,異常な程手数料引いてる
g_8903,Paypay,2021-11-24 10:56:20,利用出来る店舗が増えてきて使いやすいです,
g_11603,スマートニュース,2021-12-12 09:44:31,ニュースが早い,
g_11433,スマートニュース,2021-10-31 17:10:49,アプリと、有のに、私は、分からないので、中々押せませんでした,
g_5050,LINE_MUSIC,2021-11-01 01:09:47,googleplayに残高を課金しても音楽を購入する事が出来ません,残高を課金しても音楽を購入する事が出来ません
g_3253,CokeON,2021-11-30 20:50:26,めっちゃ節約になります,
g_237,BuzzVideo,2021-12-05 14:11:28,ガッツリしました,
g_1802,CokeON,2021-12-12 09:26:04,全くカウントされなくなりました,全くカウントされなくなりました
g_2262,CokeON,2021-12-12 11:01:04,全く使えない,全く使えない
g_147,BuzzVideo,2021-11-08 20:40:51,ドラマ,
g_4984,LINE_MUSIC,2021-12-06 13:54:51,このアプリだめです,このアプリだめです
g_2039,CokeON,2021-10-21 01:00:11,歩いてスタンプ貯まるのはうれしい,
g_3067,CokeON,2021-11-03 17:38:32,素晴らしい,
g_74,BuzzVideo,2021-12-07 14:07:34,とてもとてもおもしろく楽しいです,
g_4287,google_fit,2021-11-26 10:23:47,歩数表示が出来るようになれば、★5つです,歩数表示が出来るように
g_10797,スマートニュース,2021-12-10 13:02:11,参考になります,
g_1916,CokeON,2021-10-24 19:52:37,使いやすくて便利です,
g_1312,CokeON,2021-11-11 10:36:55,なかなか良いぞドリンクチケットは有効期限が短い順に使う仕様にしてもらいたい,ドリンクチケットは有効期限が短い順に使う仕様にしてもらいたい
g_9605,simeji,2021-11-19 12:08:33,コンパネの上に謎のスペースができるんですけどこれ消せないのか,コンパネの上に謎のスペースができる
g_7046,majica,2021-11-29 02:36:28,クーポン見ようと思って起ち上げたのにこれでは意味がない,
g_1589,CokeON,2021-11-11 15:32:50,ドリンクの補充の際に確認しないのですか,ドリンクの補充の際に確認しない
g_8625,Paypay,2021-11-11 13:00:15,改悪お気に入りが追加されたが、お気に入りを押さないと表示されないのは如何なものか,お気に入りを押さないと表示されない
g_1848,CokeON,2021-11-24 21:38:21,このアプリ開発した人って、バカなんじゃないかと思います,
g_12643,にゃんトーク,2021-11-14 15:06:41,ネットワークエラーが出ました,ネットワークエラー
g_1692,CokeON,2021-12-04 16:09:31,コカ・コーラの自販機を探すのが楽しみです,
g_13439,楽天ペイ,2021-11-13 18:13:24,おサイフケータイ機能が無くても使えるのも長所ですね,
g_8134,Paypay,2021-12-11 22:43:08,良かった,
g_8386,Paypay,2021-11-06 11:15:48,クーポンページ開くと勝手に200mbくらいダウンロードが始まります,クーポンページ開くと勝手に200mbくらいダウンロードが始まります
g_11356,スマートニュース,2021-11-08 23:39:26,きのう何食べたの映画公開ニュースで西島さんの名前が間違ってる西島俊明に,
g_10697,スマートニュース,2021-10-22 05:56:23,興味ないと押しているのに同じようなニュースばかり流れてくる,興味ないと押しているのに同じようなニュースばかり流れてくる
g_345,BuzzVideo,2021-10-24 03:20:36,面白い面々いっぱいいいでふ,
g_8876,Paypay,2021-11-19 09:47:31,最悪です,
