t_1859155,paypay,2021-11-17T22:03:15.000Z,paypayの倍企画で詐欺られました,paypayの倍企画で詐欺られました
t_1859400,paypay,2021-11-24T03:23:32.000Z,一応電話認証じゃないパターンもあるけど、tポイントのカード番号とかいちいち覚えてられない,tポイントのカード番号とかいちいち覚えてられない
t_1859476,paypay,2021-11-17T11:04:31.000Z,paypayドームくらいやばすぎww,paypayドームくらいやばすぎ
t_1859698,paypay,2021-11-22T16:45:53.000Z,夢の中でクレープ食べ損ねたし会計しようとしたらpaypay速度制限で開かなくて焦ってどうしようってなってた,paypay速度制限で開かなくて
t_1859711,paypay,2021-11-15T00:39:03.000Z,海外口座をハイリスク用に開設したのにクレジットカードが海外を禁じてて知らんくて入れようとしたら、カード毎止められて草,海外口座をハイリスク用に開設したのにクレジットカードが海外を禁じてて知らんくて入れようとしたら、カード毎止められて
t_1859781,paypay,2021-11-19T01:48:23.000Z,運転して通知聞いても直ぐ動けない,運転して通知聞いても直ぐ動けない
t_1860481,paypay,2021-11-13T23:42:43.000Z,セブンでダイパ買ったんやけど、paypay使えなくなってるのめっちゃ萎える,セブンでダイパ買ったんやけど、paypay使えなくなってる
t_1860937,paypay,2021-11-11T13:22:12.000Z,1人サイゼデビューしたのはいいんだけどまさかのpaypay使えないquicpay使えないで非常に苦しみました,paypay使えないquicpay使えない
t_1861664,paypay,2021-11-12T04:08:54.000Z,の表示は見当たらず,の表示は見当たらず
t_1861846,paypay,2021-11-17T13:28:23.000Z,非常に使いにくいというか、どうしようもない不便でストレスフルなアプリです,非常に使いにくい
t_1862261,paypay,2021-11-23T11:02:30.000Z,sbi超早かったのにpaypay開設遅いなー,sbi超早かったのにpaypay開設遅い
t_1862776,paypay,2021-11-14T13:29:16.000Z,最近のecサイトはpaypay払いやnp後払いなど出てきたことにより、サンクスページが表示されないケースがちょくちょく出てきている,サンクスページが表示されない
t_1862855,paypay,2021-11-11T03:55:06.000Z,配布、当選報告に時間がかかる事があります,配布、当選報告に時間がかかる
t_1863561,paypay,2021-11-23T23:06:21.000Z,配布、当選報告に時間がかかる事があります,配布、当選報告に時間がかかる
t_1863777,paypay,2021-11-15T05:09:17.000Z,itunesとpaypay連携出来たら神なのに,
t_1863897,paypay,2021-11-16T11:01:39.000Z,paypayの倍企画で詐欺られました,paypayの倍企画で詐欺られました
t_1864373,paypay,2021-11-18T03:01:20.000Z,paypayの倍企画で詐欺られました,paypayの倍企画で詐欺られました
t_1864764,paypay,2021-11-10T23:53:51.000Z,paypayの最大の不満は、ヤフーカード以外のクレジットカードからのチャージが一切出来ない事これを解消して欲しいなあ,paypayの最大の不満は、ヤフーカード以外のクレジットカードからのチャージが一切出来ない
t_1864860,paypay,2021-11-16T10:05:05.000Z,paypayの時点で低速になると厄介w,
t_1865182,paypay,2021-11-18T03:34:09.000Z,ふつうに電波スカスカでpaypayが使えなくて困ってしまった茨城,電波スカスカでpaypayが使えなくて
t_1865430,paypay,2021-11-15T15:02:44.000Z,ロッキードマーチンは、社名が長すぎてパイチャートに表示されない様子,社名が長すぎてパイチャートに表示されない
t_1866065,paypay,2021-11-22T14:22:52.000Z,paypayのパスワードが分からなくていろいろ試しているうちにロックされてしまったのはここだけの秘密,paypayのパスワードが分からなくて
t_1866626,paypay,2021-11-13T08:05:31.000Z,別垢で他のことしてるからpaypayのアカウントでわかりにくくなってる、、、笑,別[UNK]で他のことしてるからpaypayのアカウントでわかりにくくなってる
t_1866708,paypay,2021-11-12T13:11:12.000Z,paypay銀行のアプリ毎回開いては一度落として開き直さないと開かないの何なん,paypay銀行のアプリ毎回開いては一度落として開き直さないと開かない
t_1867356,paypay,2021-11-23T14:02:33.000Z,うまくいかなかった,うまくいかなかった
t_1867717,paypay,2021-11-17T09:34:51.000Z,paypayかあ活用したいけれどほとんど使用できる場所がなくて残念,ほとんど使用できる場所がなくて
t_1867731,paypay,2021-11-18T06:56:18.000Z,しかもマイナポイントとpaypay連携できないとさ,
t_1868474,paypay,2021-11-17T11:41:12.000Z,家の中で一番電波が悪い場所にずっといすぎて,家の中で一番電波が悪い場所にずっといすぎ
t_1868553,paypay,2021-11-11T15:34:17.000Z,むしろチャージする手間邪魔すぎ,
t_1868654,paypay,2021-11-18T10:30:05.000Z,ネットサーフィンはおろかlineはタイムラグで会話噛み合わないし、健康管理アプリは開くのにロード食べたもの追加する毎にロード、paypayも開いて支払い完了するまでに数分かかる,ネットサーフィンはおろかlineはタイムラグで会話噛み合わないし、健康管理アプリは開くのにロード食べたもの追加する毎にロード、paypayも開いて支払い完了するまでに数分かかる
t_1869188,paypay,2021-11-19T02:34:57.000Z,paypay使えなくなります,paypay使えなくなります
t_1869299,paypay,2021-11-12T23:01:37.000Z,paypayが利用制限されました、とsm来てログイン画面に飛ぶアドレスをタッチしたらなんか怪しい,paypayが利用制限されました、とsm来てログイン画面に飛ぶアドレスをタッチしたらなんか怪しい
