g_9939,スマートニュース,2021-11-02 14:24:40,更新もされない、勝手にaccountが、docomoの遠隔サポートに変えられて使えなくされてるんだけどパスワードも勝手に変えられて、docomoのaccountもgaccountもすべてなくなり、携帯電話番号迄変えられてあり得ないんだけど、自分の携帯電話番号が、他の自分の契約していた携帯電話番号にされていたから、自分の使用している携帯電話番号が、勝手になかったので、ずーと支払いだけしていたのに、携帯電話番号がないんだけど、使えてなかったのに支払いだけしていたのに、まだ支払いさせられてる、docomoが、電話で、廃止にしなければ、使えなくされても、払いはしてもらわないと言われた、あり得ないんだけど裁判にされたけど、支払いしてるあり得ないんだけど、廃止にしたくせにずーと支払いだけさせられてる、小学生の娘のも廃止にされたから娘の携帯電話番号にされていたから、あり得ないけど、小学生の娘のも廃止にされたからです,更新もされない、勝手にaccountが、docomoの遠隔サポートに変えられて使えなくされてる,1
g_9940,スマートニュース,2021-11-24 22:39:51,最近タイトルと中身が違いすぎる釣り記事みたいなのが多くて、最後まで読んだのにタイトルにふれてなかったりとか、すごく良さげなタイトルなのに中身ペラペラとか、時間を無駄に浪費させられて、すごくイライラする,最近タイトルと中身が違いすぎる釣り記事みたいなのが多くて、最後まで読んだのにタイトルにふれてなかったりとか、すごく良さげなタイトルなのに中身ペラペラとか、時間を無駄に浪費させられて,2
g_9942,スマートニュース,2021-11-08 23:06:00,3行目以降は正常に表示されます,3行目以降は正常に表示されます,3
g_9944,スマートニュース,2021-12-05 03:10:40,yahooニュースみたいにコメントがないのがいい,yahooニュースみたいにコメントがない,4
g_9946,スマートニュース,2021-11-20 19:02:27,通知が多すぎる,通知が多すぎる,5
g_10136,スマートニュース,2021-11-01 09:43:40,どうでもいい速報が多すぎる,速報が多すぎる,5
g_11055,スマートニュース,2021-12-07 22:11:57,通知が多いだけで他は問題ありません,通知が多い,5
g_11861,スマートニュース,2021-11-01 14:11:03,お知らせをオフにしたと思うのですが、頻繁に通知が入ってくるので、アンインストールします,頻繁に通知が入ってくる,5
g_12129,スマートニュース,2021-12-10 17:55:31,内容には概ね満足していますが、通知がやや多過ぎる感があっての四つ星とさせて頂きました,通知がやや多過ぎる,5
g_12225,スマートニュース,2021-11-29 03:48:14,余計な通通知が多くて鬱陶しいのでアンインストールしましたスッキリしました,通通知が多くて,5
g_9947,スマートニュース,2021-10-31 11:02:00,色々な分野に別れていて他の報道関係のネーム、確実に国民の方々の思いが綴り解釈しやすい内容に分かれていますこれからもスマートニュースアプリみたいなと思います,他の報道関係のネーム、確実に国民の方々の思いが綴り解釈しやすい内容に分かれています,6
g_9955,スマートニュース,2021-10-24 18:26:20,みたくないものもでててけせるようにしてほしい,みたくないものもでててけせるようにしてほしい,7
g_9970,スマートニュース,2021-12-03 18:10:14,もっと沢山プロ野球のストーブリーグの記事を特集して欲しいです,もっと沢山プロ野球のストーブリーグの記事を特集して欲しい,9
g_9973,スマートニュース,2021-12-09 21:15:47,途中から上手く行かない,途中から上手く行かない,10
g_9982,スマートニュース,2021-11-02 08:24:03,機種交換に伴い再び使用するも改善されたとは感じない、コンテンツは良いので広告を排除する有料仕様があっても良いのでは無いかと思う,広告を排除する有料仕様があっても良い,11
g_9986,スマートニュース,2021-11-06 13:43:47,統合失調症パンツを脱がして真っ赤になるまでお尻ペンペンしたい,統合失調症パンツを脱がして真っ赤になるまでお尻ペンペンしたい,12
g_9992,スマートニュース,2021-11-15 22:20:51,なぜいい加減修整しないのだろう,いい加減修整しない,13
g_9997,スマートニュース,2021-11-12 10:32:39,興味ないを押してるのに該当の記事が何度も出てくるのをどうにかしてほしいけど、無料で使えるものだからしょうがないかなと,興味ないを押してるのに該当の記事が何度も出てくる,14
