t_539380,paypay,2021-10-22T16:32:06.000Z,昨日屋さんでpaypay使おうとしたら通信エラーで,通信エラー,1
t_1378971,paypay,2021-11-08T08:36:41.000Z,こういう決済は便利だけどネットワークに依存してる分、エラーでると大変困るね,ネットワークに依存してる分、エラー,1
t_1574017,paypay,2021-11-04T17:27:51.000Z,ネットワークエラーが頻発、再読み込みを何度行っても無駄,ネットワークエラー,1
t_1585852,paypay,2021-11-05T01:09:55.000Z,こうした通信障害などの不具合は,通信障害などの不具合,1
t_1712377,paypay,2021-11-03T05:12:53.000Z,前、2度も通信エラーになってトラウマ,通信エラー,1
t_2800437,paypay,2021-11-26T15:30:40.000Z,レジで暫くしてから通信エラーになる,通信エラーになる,1
t_539597,paypay,2021-10-27T12:05:34.000Z,こちらも何度も別アカウントで連絡してますがブロックされてしまいます,何度も別アカウントで連絡してますがブロックされてしまいます,2
t_557326,paypay,2021-10-27T12:07:59.000Z,こちらも何度も別アカウントで連絡してますがブロックされてしまいます,何度も別アカウントで連絡してますがブロックされてしまいます,2
t_746411,paypay,2021-10-27T12:10:08.000Z,こちらも何度も別アカウントで連絡してますがブロックされてしまいます,何度も別アカウントで連絡してますがブロックされてしまいます,2
t_829686,paypay,2021-10-27T12:07:31.000Z,こちらも何度も別アカウントで連絡してますがブロックされてしまいます,何度も別アカウントで連絡してますがブロックされてしまいます,2
t_848891,paypay,2021-10-27T12:08:55.000Z,こちらも何度も別アカウントで連絡してますがブロックされてしまいます,何度も別アカウントで連絡してますがブロックされてしまいます,2
t_849674,paypay,2021-10-27T12:09:26.000Z,こちらも何度も別アカウントで連絡してますがブロックされてしまいます,何度も別アカウントで連絡してますがブロックされてしまいます,2
t_972625,paypay,2021-10-27T12:08:26.000Z,こちらも何度も別アカウントで連絡してますがブロックされてしまいます,何度も別アカウントで連絡してますがブロックされてしまいます,2
t_976940,paypay,2021-10-27T02:02:21.000Z,その後別のアカウントで呼びかけてもブロックされます,別のアカウントで呼びかけてもブロックされます,2
t_1017833,paypay,2021-10-27T12:06:38.000Z,こちらも何度も別アカウントで連絡してますがブロックされてしまいます,何度も別アカウントで連絡してますがブロックされてしまいます,2
t_2905734,paypay,2021-11-30T04:51:31.000Z,アカウント名も変えられブロックされています,アカウント名も変えられブロックされています,2
t_539763,paypay,2021-10-27T14:59:49.000Z,プレミアムカードを作ってもサービスデスクが全然つながらないことや、paypayの不正利用が話題になったときに楽天カードは補償が渋かったという話を聞くだけど怖くて作れない,プレミアムカードを作ってもサービスデスクが全然つながらない,3
t_540102,paypay,2021-10-21T01:52:24.000Z,paypayならチャージ額決める、カードなら月使う額きたら通知来るようにしとく,paypayならチャージ額決める、カードなら月使う額きたら通知来るようにしとく,4
t_540432,paypay,2021-10-21T11:14:58.000Z,マックでえびフィレオセット買おうと思ったらpaypay使えなかった,マックでえびフィレオセット買おうと思ったらpaypay使えなかった,5
t_3611513,paypay,2021-12-08T13:19:42.000Z,マックの新商品のビーフシチューパイ買おうとしたらpaypay使えなかったのでケンタで違うパイ買ってファミマのビーフシチュー入れて食ってた,マックの新商品のビーフシチューパイ買おうとしたらpaypay使えなかった,5
t_541500,paypay,2021-10-28T06:52:10.000Z,福岡に住んで半年以上経ちましたが、天神からpaypayドームまでの行き方が分からなくて迷子でした,天神からpaypayドームまでの行き方が分からなくて迷子でした,8
t_541664,paypay,2021-10-28T07:55:02.000Z,購入後の配送方法変更が出来ず事故ること有,購入後の配送方法変更が出来ず,11
t_542520,paypay,2021-10-29T12:17:37.000Z,paypay足りないと音源途切れるの何回見ても草,paypay足りないと音源途切れる,13
